ano,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1944,0.5,1.5,,0,7.9,16.7,1,103.6,33.6,17,15.5,9.8
1945,6.3,16.7,0,9,0,36.7,89.6,22,7,9.6,0.1,4
1946,44,1,0.8,33.9,9.6,53.4,39.1,21.2,22.4,13.1,26.6,
1947,10.4,0,0,0,42,78,11.4,79.3,81,11.5,0,0
1948,1,4,1.5,1,0,60,66.2,0,76.5,15,7,1
1949,3.6,0.8,0,0.2,6.3,12.7,28.7,43.8,11.3,1.2,0,3.8
1950,36,0,0,12.7,3,4,9.2,39.2,0.2,0.5,0,0
1951,0,0,10.7,0,4.5,5.1,6.2,18.9,37.4,19.9,6.8,1.2
1952,0,0,0,6,7,67.1,5.8,0.9,0,0,4.9,0
1953,0,6.2,0,0,0,3.9,17,62.8,36,14.1,0.3,5
1954,,,,,,,,,,,,
1955,,,,,,,,,,,,
1956,0,0,0,6,4,7,0,4,33,1,3,3
1957,0,41,0,0,19,0,1,9,29,23,0,1
1958,17,6.2,0,4,4,38.2,14,9,65,20,5,9
1959,0,1,0,7,2,7,58,35,4,18,3,1
1960,4,4,0,0,0,4,51,56,4,32,1,11
1961,6,2,0,1,5,23,5,1,8,4,0,3
1962,0,0,0,5,0,6,0,6,9,1,0,18
1963,1,0,0,7,4.4,4.8,0.7,2,1.6,0.9,0.2,0.5
1964,0.4,0.5,0,0,2.1,2.2,2.9,4.1,4.1,5,0.3,
1965,,0.7,0,0,0,1.4,0.2,4.1,7.1,0,0.4,1.6
1966,0.1,0,0,0.6,11.3,0.2,5,27,33,0,0,0.7
1967,11,0,22,0,0,1.5,0.8,5.9,2.5,2.8,0.3,0.5
1968,2.4,1.6,4.8,2,0.5,0,1.5,,12.5,,,3.2
1969,3,0,0,0,5.3,30,20,,,,,
