ano,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MeanPrecipitation,desviacion
1944,0.5,1.5,0,0,7.9,16.7,1,103.6,33.6,17,15.5,9.8,17.258333333333333,29.010670711852132
1945,6.3,16.7,0,9,0,36.7,89.6,22,7,9.6,0.1,4,16.75,25.314476634383087
1946,44,1,0.8,33.9,9.6,53.4,39.1,21.2,22.4,13.1,26.6,0,22.091666666666665,17.92217815157995
1947,10.4,0,0,0,42,78,11.4,79.3,81,11.5,0,0,26.133333333333333,34.208513914556775
1948,1,4,1.5,1,0,60,66.2,0,76.5,15,7,1,19.433333333333334,29.539013750180175
1949,3.6,0.8,0,0.2,6.3,12.7,28.7,43.8,11.3,1.2,0,3.8,9.366666666666667,13.643202325589462
1950,36,0,0,12.7,3,4,9.2,39.2,0.2,0.5,0,0,8.733333333333334,14.105468529057886
1951,0,0,10.7,0,4.5,5.1,6.2,18.9,37.4,19.9,6.8,1.2,9.225,11.19107802102761
1952,0,0,0,6,7,67.1,5.8,0.9,0,0,4.9,0,7.641666666666667,18.938006918907966
1953,0,6.2,0,0,0,3.9,17,62.8,36,14.1,0.3,5,12.108333333333333,19.18107297848743
1956,0,0,0,6,4,7,0,4,33,1,3,3,5.083333333333333,9.119991360974112
1957,0,41,0,0,19,0,1,9,29,23,0,1,10.25,14.251794145427318
1958,17,6.2,0,4,4,38.2,14,9,65,20,5,9,15.950000000000001,18.522345227515675
1959,0,1,0,7,2,7,58,35,4,18,3,1,11.333333333333334,17.839350443399677
1960,4,4,0,0,0,4,51,56,4,32,1,11,13.916666666666666,20.500369545819204
1961,6,2,0,1,5,23,5,1,8,4,0,3,4.833333333333333,6.249848483011893
1962,0,0,0,5,0,6,0,6,9,1,0,18,3.75,5.512382754885915
1963,1,0,0,7,4.4,4.8,0.7,2,1.6,0.9,0.2,0.5,1.925,2.257965697460679
1964,0.4,0.5,0,0,2.1,2.2,2.9,4.1,4.1,5,0.3,0,1.8,1.8561935635742695
1965,0,0.7,0,0,0,1.4,0.2,4.1,7.1,0,0.4,1.6,1.2916666666666665,2.1827665236964067
1966,0.1,0,0,0.6,11.3,0.2,5,27,33,0,0,0.7,6.491666666666667,11.543944365560305
1967,11,0,22,0,0,1.5,0.8,5.9,2.5,2.8,0.3,0.5,3.941666666666667,6.541400785949768
1968,2.4,1.6,4.8,2,0.5,0,1.5,0,12.5,0,0,3.2,2.375,3.5247501523318836
1969,3,0,0,0,5.3,30,20,0,0,0,0,0,4.858333333333333,9.787975771167892
